"ID","plot","pot","campaign","type","area","mass","volume","Date","sla","massarea"
"6-1",6,1,6,"Amax",14.6,0.18,"35",2013-05-16,0.00811111111111111,123.287671232877
"6-3",6,3,1,"Amax",27.1,0.21,"5",2013-03-07,0.0129047619047619,77.4907749077491
"6-3",6,3,2,"Amax",27.14,0.26,"5",2013-03-22,0.0104384615384615,95.7995578481946
"6-3",6,3,3,"Amax",11.8,0.15,"5",2013-04-08,0.00786666666666667,127.118644067797
"6-3",6,3,4,"Amax",15.23,0.19,"5",2013-04-17,0.00801578947368421,124.753775443204
"6-3",6,3,5,"Amax",7.57,0.07,"5",2013-05-01,0.0108142857142857,92.4702774108322
"6-3",6,3,6,"Amax",10.24,0.13,"5",2013-05-16,0.00787692307692308,126.953125
"6-4",6,4,1,"Amax",15.9,0.13,"20",2013-03-07,0.0122307692307692,81.7610062893082
"6-4",6,4,2,"Amax",22.27,0.21,"20",2013-03-22,0.0106047619047619,94.2972608890884
"6-4",6,4,3,"Amax",23.825,0.255,"20",2013-04-08,0.00934313725490196,107.030430220357
"6-4",6,4,4,"Amax",24.51,0.28,"20",2013-04-17,0.00875357142857143,114.239086087311
"6-4",6,4,5,"Amax",19.39,0.16,"20",2013-05-01,0.01211875,82.5167612171222
"6-4",6,4,6,"Amax",23,0.19,"20",2013-05-16,0.0121052631578947,82.6086956521739
"6-5",6,5,1,"Amax",31.2,0.25,"10",2013-03-07,0.01248,80.1282051282051
"6-5",6,5,2,"Amax",25.21,0.2,"10",2013-03-22,0.012605,79.3335977786593
"6-5",6,5,3,"Amax",21.24,0.21,"10",2013-04-08,0.0101142857142857,98.8700564971752
"6-5",6,5,4,"Amax",17.65,0.2,"10",2013-04-17,0.008825,113.314447592068
"6-5",6,5,5,"Amax",11.91,0.11,"10",2013-05-01,0.0108272727272727,92.3593618807725
"6-5",6,5,6,"Amax",21.39,0.22,"10",2013-05-16,0.00972272727272727,102.851799906498
"6-6",6,6,1,"Amax",30.5,0.23,"15",2013-03-07,0.0132608695652174,75.4098360655738
"6-6",6,6,2,"Amax",18.74,0.14,"15",2013-03-22,0.0133857142857143,74.7065101387407
"6-6",6,6,3,"Amax",19.57,0.225,"15",2013-04-08,0.00869777777777778,114.971895758815
"6-6",6,6,4,"Amax",24.54,0.28,"15",2013-04-17,0.00876428571428571,114.099429502853
"6-6",6,6,5,"Amax",22.42,0.24,"15",2013-05-01,0.00934166666666667,107.047279214987
"6-6",6,6,6,"Amax",20.1,0.2,"15",2013-05-16,0.01005,99.502487562189
"6-7",6,7,1,"Amax",23.7,0.19,"25",2013-03-07,0.0124736842105263,80.168776371308
"6-7",6,7,2,"Amax",23.8,0.27,"25",2013-03-22,0.00881481481481481,113.44537815126
"6-7",6,7,3,"Amax",19.4505,0.23,"25",2013-04-08,0.00845673913043478,118.248888203388
"6-7",6,7,4,"Amax",27.76,0.24,"25",2013-04-17,0.0115666666666667,86.4553314121037
"6-7",6,7,5,"Amax",18.31,0.16,"25",2013-05-01,0.01144375,87.3839432004369
"6-7",6,7,6,"Amax",24.16,0.25,"25",2013-05-16,0.009664,103.476821192053
"6-8",6,8,1,"Amax",27.3,0.16,"1000",2013-03-07,0.0170625,58.6080586080586
"6-8",6,8,2,"Amax",37.94,0.26,"1000",2013-03-22,0.0145923076923077,68.5292567211387
"6-8",6,8,3,"Amax",24.89,0.165,"1000",2013-04-08,0.0150848484848485,66.2916834069908
"6-8",6,8,4,"Amax",25.08,0.24,"1000",2013-04-17,0.01045,95.6937799043062
"6-8",6,8,5,"Amax",27.47,0.24,"1000",2013-05-01,0.0114458333333333,87.3680378594831
"6-8",6,8,6,"Amax",21.31,0.23,"1000",2013-05-16,0.00926521739130435,107.93054903801
"7-1",7,1,1,"Amax",18.5,0.13,"15",2013-03-07,0.0142307692307692,70.2702702702703
"7-1",7,1,2,"Amax",24.56,0.21,"15",2013-03-22,0.0116952380952381,85.5048859934853
"7-1",7,1,3,"Amax",18.865,0.185,"15",2013-04-08,0.0101972972972973,98.0652001060164
"7-1",7,1,4,"Amax",13.94,0.14,"15",2013-04-17,0.00995714285714286,100.430416068867
"7-1",7,1,5,"Amax",18.52,0.21,"15",2013-05-01,0.00881904761904762,113.390928725702
"7-1",7,1,6,"Amax",16.53,0.2,"15",2013-05-16,0.008265,120.992135511192
"7-2",7,2,1,"Amax",22,0.15,"1000",2013-03-07,0.0146666666666667,68.1818181818182
"7-2",7,2,2,"Amax",32.72,0.22,"1000",2013-03-22,0.0148727272727273,67.2371638141809
"7-2",7,2,3,"Amax",22.77,0.15,"1000",2013-04-08,0.01518,65.8761528326746
"7-2",7,2,4,"Amax",29.58,0.2,"1000",2013-04-17,0.01479,67.6132521974307
"7-2",7,2,5,"Amax",22.5,0.2,"1000",2013-05-01,0.01125,88.8888888888889
"7-2",7,2,6,"Amax",26.97,0.29,"1000",2013-05-16,0.0093,107.52688172043
"7-3",7,3,1,"Amax",9.1,0.06,"25",2013-03-07,0.0151666666666667,65.9340659340659
"7-3",7,3,2,"Amax",9.46,0.06,"25",2013-03-22,0.0157666666666667,63.4249471458774
"7-3",7,3,3,"Amax",7.74,0.06,"25",2013-04-08,0.0129,77.5193798449612
"7-3",7,3,4,"Amax",10.5,0.07,"25",2013-04-17,0.015,66.6666666666667
"7-3",7,3,5,"Amax",18.7,0.17,"25",2013-05-01,0.011,90.9090909090909
"7-3",7,3,6,"Amax",18.83,0.18,"25",2013-05-16,0.0104611111111111,95.5921402018056
"7-4",7,4,1,"Amax",16.7,0.21,"10",2013-03-07,0.00795238095238095,125.748502994012
"7-4",7,4,2,"Amax",9.28,0.1,"10",2013-03-22,0.00928,107.758620689655
"7-4",7,4,3,"Amax",15.655,0.155,"10",2013-04-08,0.0101,99.009900990099
"7-4",7,4,4,"Amax",11.65,0.13,"10",2013-04-17,0.00896153846153846,111.587982832618
"7-4",7,4,5,"Amax",18.84,0.16,"10",2013-05-01,0.011775,84.9256900212314
"7-4",7,4,6,"Amax",16.16,0.14,"10",2013-05-16,0.0115428571428571,86.6336633663366
"7-5",7,5,1,"Amax",18.6,0.18,"20",2013-03-07,0.0103333333333333,96.7741935483871
"7-5",7,5,2,"Amax",16.94,0.2,"20",2013-03-22,0.00847,118.063754427391
"7-5",7,5,3,"Amax",16.045,0.205,"20",2013-04-08,0.00782682926829268,127.765659083827
"7-5",7,5,4,"Amax",26.91,0.22,"20",2013-04-17,0.0122318181818182,81.7539947974731
"7-5",7,5,5,"Amax",23.24,0.22,"20",2013-05-01,0.0105636363636364,94.6643717728055
"7-5",7,5,6,"Amax",22.91,0.21,"20",2013-05-16,0.0109095238095238,91.6630292448712
"7-6",7,6,1,"Amax",19.7,0.18,"5",2013-03-07,0.0109444444444444,91.3705583756345
"7-6",7,6,2,"Amax",19.72,0.22,"5",2013-03-22,0.00896363636363636,111.561866125761
