"ID","starch_mgperg","sugars_mgperg","volume","campaign","Date","starch","sugars","tnc"
"'5-6",51.39,106.6169292,"free",3,2013-04-08,0.05139,0.1066169292,0.1580069292
"'5-6",26.73046875,61.63949609,"free",4,2013-04-17,0.02673046875,0.06163949609,0.08836996484
"'5-6",90.86956522,98.826407,"free",5,2013-05-01,0.09086956522,0.098826407,0.18969597222
"'5-6",125.9142857,80.49935437,"free",6,2013-05-16,0.1259142857,0.08049935437,0.20641364007
"'5-7",95.70731707,70.22418699,"35",1,2013-03-07,0.09570731707,0.07022418699,0.16593150406
"'5-7",23.56730769,86.18958821,"35",2,2013-03-22,0.02356730769,0.08618958821,0.1097568959
"'5-7",42.03225806,72.22395609,"35",3,2013-04-08,0.04203225806,0.07222395609,0.11425621415
"'5-7",77.56719368,52.02467852,"35",4,2013-04-17,0.07756719368,0.05202467852,0.1295918722
"'5-7",37.69626168,87.09669977,"35",5,2013-05-01,0.03769626168,0.08709669977,0.12479296145
"'5-7",59.36111111,73.81403704,"35",6,2013-05-16,0.05936111111,0.07381403704,0.13317514815
"'5-8",47.76136364,54.50291193,"05",2,2013-03-22,0.04776136364,0.05450291193,0.10226427557
"'5-8",142.8185328,73.88084459,"05",3,2013-04-08,0.1428185328,0.07388084459,0.21669937739
"'5-8",92.87258687,61.17201416,"05",4,2013-04-17,0.09287258687,0.06117201416,0.15404460103
"'5-8",50.23963134,87.06147389,"05",6,2013-05-16,0.05023963134,0.08706147389,0.13730110523
"'6-1",106.5679012,51.79438957,"35",1,2013-03-07,0.1065679012,0.05179438957,0.15836229077
"'6-1",93.38541667,51.73624913,"35",2,2013-03-22,0.09338541667,0.05173624913,0.1451216658
"'6-1",95.95555567,90.4441713,"35",3,2013-04-08,0.09595555567,0.0904441713,0.18639972697
"'6-1",83.81521739,51.32216546,"35",4,2013-04-17,0.08381521739,0.05132216546,0.13513738285
"'6-1",99.89861751,60.568053,"35",5,2013-05-01,0.09989861751,0.060568053,0.16046667051
"'6-1",112.6256158,73.06331076,"35",6,2013-05-16,0.1126256158,0.07306331076,0.18568892656
