"","plot","pot","ID","campaign","mass","volume","Date","Photo","Cond","Ci","CTleaf","Area","Trmmol","resppermass"
"183",6,7,"6-7",6,0.25,25,2013-05-16,-0.199769853,0.002332391,535.3965223,11.56599805,24.16,0.010705643,-0.799079412
"184",6,7,"6-7",6,0.25,25,2013-05-16,-0.196915459,0.002287578,536.0458084,11.56273616,24.16,0.010497852,-0.787661836
"185",6,8,"6-8",6,0.23,1000,2013-05-16,-0.174461702,0.00230757,520.2793165,11.72700154,21.31,0.010501636,-0.758529139130435
"186",6,8,"6-8",6,0.23,1000,2013-05-16,-0.177839893,0.002353704,520.1749882,11.7242137,21.31,0.010707497,-0.773216926086956
"187",6,8,"6-8",6,0.23,1000,2013-05-16,-0.17250837,0.002321076,518.1843958,11.72111502,21.31,0.010558202,-0.750036391304348
"188",6,8,"6-8",6,0.23,1000,2013-05-16,-0.162046044,0.002216096,516.1857354,11.71703162,21.31,0.01008191,-0.704548017391304
"189",6,8,"6-8",6,0.23,1000,2013-05-16,-0.188895477,0.002103259,542.8244865,11.70972933,21.31,0.009559754,-0.821284682608696
"190",7,1,"7-1",6,0.2,15,2013-05-16,-0.323933725,0.004483677,514.6494071,11.63360811,16.53,0.017857947,-1.619668625
"191",7,1,"7-1",6,0.2,15,2013-05-16,-0.340357111,0.004476262,520.7409663,11.6321789,16.53,0.01784006,-1.701785555
"192",7,1,"7-1",6,0.2,15,2013-05-16,-0.342460933,0.004424046,522.940468,11.619367,16.53,0.01759914,-1.712304665
"193",7,1,"7-1",6,0.2,15,2013-05-16,-0.342073367,0.004328993,525.5780858,11.6125008,16.53,0.017228602,-1.710366835
